,Yukon,Kasai ,,,,Yukon,Confidecnce Yukon,Final Values,,Kasai,Confidence,Final Values
0,0.613,0.748,,,,0.613,0.172637811,0.440362189,,0.748,0.124973091,0.872973091
1,0.577,0.735,,,,0.577,0.094762687,0.482237313,,0.735,0.067545033,0.802545033
2,0.565,0.726,,,,0.565,0.065184294,0.499815706,,0.726,0.04796638,0.77396638
3,0.554,0.725,,,,0.554,0.049584928,0.504415072,,0.725,0.034338975,0.759338975
4,0.545,0.719,,,,0.545,0.038667952,0.506332048,,0.719,0.0280988,0.7470988
5,0.545,0.714,,,,0.545,0.033648055,0.511351945,,0.714,0.02229939,0.73629939
6,0.537,0.713,,,,0.537,0.026229029,0.510770971,,0.713,0.019101946,0.732101946
7,0.539,0.715,,,,0.539,0.024600892,0.514399108,,0.715,0.016115395,0.731115395
8,0.538,0.714,,,,0.538,0.021107323,0.516892677,,0.714,0.015575337,0.729575337
9,0.537,0.711,,,,0.537,0.018956945,0.518043055,,0.711,0.01292093,0.72392093
10,0.539,0.714,,,,0.539,0.016696494,0.522303506,,0.714,0.012690698,0.726690698
11,0.535,0.713,,,,0.535,0.015007699,0.519992301,,0.713,0.010859143,0.723859143
12,0.538,0.715,,,,0.538,0.014349375,0.523650625,,0.715,0.01028643,0.72528643
13,0.534,0.712,,,,0.534,0.013321312,0.520678688,,0.712,0.009081597,0.721081597
14,0.533,0.711,,,,0.533,0.011903557,0.521096443,,0.711,0.009188034,0.720188034
15,0.535,0.713,,,,0.535,0.011583568,0.523416432,,0.713,0.008129593,0.721129593
16,0.537,0.711,,,,0.537,0.010881261,0.526118739,,0.711,0.007783306,0.718783306
17,0.541,0.714,,,,0.541,0.009724831,0.531275169,,0.714,0.007496919,0.721496919
18,0.542,0.713,,,,0.542,0.009280361,0.532719639,,0.713,0.00696559,0.71996559
19,0.535,0.712,,,,0.535,0.008993206,0.526006794,,0.712,0.006585017,0.718585017
20,0.535,0.714,,,,0.535,0.008424999,0.526575001,,0.714,0.00602338,0.72002338
21,0.532,0.713,,,,0.532,0.00792932,0.52407068,,0.713,0.005888854,0.718888854
22,0.533,0.712,,,,0.533,0.007696766,0.525303234,,0.712,0.00568347,0.71768347
23,0.536,0.709,,,,0.536,0.007286154,0.528713846,,0.709,0.005495484,0.714495484
24,0.534,0.709,,,,0.534,0.006879459,0.527120541,,0.709,0.005323663,0.714323663
25,0.536,0.712,,,,0.536,0.006550937,0.529449063,,0.712,0.005205425,0.717205425
26,0.537,0.711,,,,0.537,0.006332227,0.530667773,,0.711,0.005048247,0.716048247
27,0.538,0.71,,,,0.538,0.005932273,0.532067727,,0.71,0.004766049,0.714766049
28,0.536,0.713,,,,0.536,0.005553809,0.530446191,,0.713,0.004545183,0.717545183
29,0.535,0.711,,,,0.535,0.005284704,0.529715296,,0.711,0.004056419,0.715056419
30,0.533,0.713,,,,0.533,0.005610381,0.527389619,,0.713,0.004277019,0.717277019
31,0.534,0.712,,,,0.534,0.005197741,0.528802259,,0.712,0.003924723,0.715924723
32,0.534,0.709,,,,0.534,0.004897835,0.529102165,,0.709,0.003950593,0.712950593
33,0.536,0.71,,,,0.536,0.004794227,0.531205773,,0.71,0.003695025,0.713695025
34,0.533,0.71,,,,0.533,0.004518652,0.528481348,,0.71,0.00341359,0.71341359
35,0.534,0.711,,,,0.534,0.004421021,0.529578979,,0.711,0.003499936,0.714499936
36,0.535,0.712,,,,0.535,0.004041901,0.530958099,,0.712,0.003440605,0.715440605
37,0.534,0.711,,,,0.534,0.004046394,0.529953606,,0.711,0.003169856,0.714169856
38,0.534,0.71,,,,0.534,0.003883314,0.530116686,,0.71,0.003264851,0.713264851
39,0.532,0.713,,,,0.532,0.003734615,0.528265385,,0.713,0.003101132,0.716101132
40,0.533,0.71,,,,0.533,0.003649749,0.529350251,,0.71,0.003167647,0.713167647
41,0.537,0.71,,,,0.537,0.003653057,0.533346943,,0.71,0.002964359,0.712964359
42,0.535,0.711,,,,0.535,0.003643684,0.531356316,,0.711,0.002690826,0.713690826
43,0.534,0.711,,,,0.534,0.003276742,0.530723258,,0.711,0.002961268,0.713961268
44,0.534,0.711,,,,0.534,0.003332106,0.530667894,,0.711,0.002620463,0.713620463
45,0.533,0.711,,,,0.533,0.003190564,0.529809436,,0.711,0.002542514,0.713542514
46,0.535,0.709,,,,0.535,0.003136744,0.531863256,,0.709,0.0025953,0.7115953
47,0.535,0.711,,,,0.535,0.002995073,0.532004927,,0.711,0.002351885,0.713351885
48,0.534,0.711,,,,0.534,0.003020293,0.530979707,,0.711,0.002494114,0.713494114
49,0.535,0.71,,,,0.535,0.002760706,0.532239294,,0.71,0.002401762,0.712401762