Part A,Part C ,CM West,CM East
68,85,95,76
88,56,100,91
74,351,125,93
69,60,78,78
107,346,108,106
138,4,138,117
94,11,94,66
115,34,112,85
132,28,104,78
90,359,94,106
114,348,102,120
123,26,105,125
110,51,84,105
49,58,73,77
99,0,105,115
96,322,108,124
171,56,111,137
123,291,94,80
82,301,75,117
88,12,114,117
70,14,78,123
94,23,101,65
113,8,106,87
87,15,98,58
112,355,97,53
69,13,101,92
115,14,86,59
128,20,128,125
56,10,154,138
74,30,136,146
70,19,144,114
72,350,127,88
130,60,86,118
122,69,132,148
94,46,112,139
39,7,110,86
110,49,114,112
355,25,109,95
66,29,91,85
111,97,123,120
46,0,92,139
129,39,114,126
61,52,121,100
122,80,98,92
72,64,107,120
61,54,104,105
78,74,86,100
61,54,96,75
128,29,123,89
65,45,121,56
19,98,98,64
65,72,86,77
62,34,100,115
47,59,100,85
62,64,113,110
341,36,74,92
354,86,107,132
60,48,118,117
35,28,128,150
2,77,109,88
75,46,123,122
14,59,130,134
49,55,118,310
34,46,133,85
56,26,123,138
16,21,97,90
39,33,80,100
20,11,104,90
29,86,68,80
74,49,119,105
45,21,98,110
10,29,73,125
63,58,100,105
50,39,143,99
7,49,98,93
21,47,125,86
24,34,113,118
25,24,113,115
16,33,106,59
51,29,106,108
25,20,135,147
48,19,115,106
20,70,130,123
0,34,143,63
3,25,92,62
31,20,81,92
34,63,87,65
46,65,90,78
27,74,86,47
12,64,86,57
13,46,73,108
37,98,80,127
353,31,75,44
9,86,86,91
50,53,103,48
8,56,99,61
36,42,114,35
66,92,103,92
23,104,108,62
26,136,130,43
74,58,123,46
35,104,112,50
64,114,120,100
19,351,92,52
16,50,120,41
17,101,105,54
30,196,104,49
,60,93,98
,138,87,111
,100,120,114
,79,75,90
,3,124,79
,92,93,98
,99,105,85
,81,104,93
,65,98,104
,80,102,60
,70,101,90
,64,110,78
,76,130,91
,85,102,80
,96,110,91
,114,84,60
,61,108,43
,9,126,57
,32,102,63
,40,115,22
,59,109,116
,66,122,29
,94,128,30
,71,111,25
,86,114,32
,87,96,6
,41,79,10
,72,111,124
,136,107,336
,85,110,27
,111,112,17
,66,104,36
,62,98,18
,102,128,19
,80,101,5
,96,95,20
,161,97,14
,152,114,40
,150,123,24
,103,104,36
,88,105,38
,93,75,15
,90,115,35
,117,120,357
,106,97,340
,111,89,2
,28,98,343
,116,105,344
,96,130,39
,80,95,90
,52,145,60
,102,114,92
,119,107,78
,80,96,85
,105,104,67
,81,130,21
,75,111,65
,101,109,84
,123,119,76
,52,90,47
,100,122,13
,78,108,37
,89,125,57
,111,104,41
,118,115,15
,133,104,356
,138,96,358
,116,72,337
,167,88,22
,148,97,26
,159,93,65
,100,90,28
,89,114,30
,95,123,359
,,102,1
,,121,25
,,145,29
,,130,14
,,112,347
,,118,11
,,122,40
,,127,17
,,123,24
,,119,357
,,127,20
,,124,345
,,105,24
,,117,33
,,110,327
,,115,7
,,127,5
,,132,46
,,139,340
,,136,355
,,138,10
,,144,26
,,147,97
,,133,130
,,139,111
,,117,107
,,109,117
,,146,105
,,140,97
,,115,122
,,128,100
,,129,114
,,123,102
,,146,107
,,128,90
,,152,154
,,133,96
,,143,90
,,116,123
,,107,112
,,125,95
,,105,83
,,120,187
,,133,53
,,156,66
,,132,115
,,137,116
,,130,126
,,127,162
,,135,120
,,122,80
,,128,110
,,139,110
,,148,113
,,102,107
,,142,126
,,141,93
,,144,115
,,97,105
,,130,100
,,127,78
,,127,78
,,139,65
,,105,98
,,100,110
,,141,125
,,156,119
,,115,117
,,129,117
,,126,122
,,141,110
,,136,85
,,136,95
,,123,106
,,144,135
,,165,110
,,144,100
,,130,130
,,152,118
,,155,153
,,153,138
,,137,117
,,178,127
,,133,157
,,139,115
,,136,110
,,153,145
,,144,114
,,142,120
,,150,76
,,126,132
,,180,130
,,172,146
,,138,154
,,136,132
,,167,133
,,130,127
,,78,124
,,171,138
,,134,160
,,166,150
,,147,117
,,139,126
,,141,117
,,164,114
,,144,136
,,150,123
,,160,120
,,152,126
,,146,108
,,131,117
,,125,114
,,130,115
,,182,125
,,140,127
,,134,123
,,154,330
,,178,127
,,157,123
,,115,140
,,136,113
,,149,112
,,133,124
,,124,126
,,144,132
,,158,156
,,137,140
,,142,130
,,149,125
,,165,126
,,132,126
,,132,116
,,154,114
,,139,124
,,127,119
,,151,123
,,150,127
,,149,133
,,162,135
,,142,126
,,115,123
,,150,116
,,160,124
,,143,126
,,146,125
,,117,137
,,151,120
,,132,123
,,163,144
,,166,135
,,151,136
,,167,110
,,121,123
,,169,140
,,106,120
,,120,122
,,151,134
,,131,127
,,140,116
,,128,113
,,85,129
,,132,123
,,161,146
,,164,155
,,151,95
,,143,132
,,141,144
,,136,157
,,155,147
,,153,122
,,116,129
,,135,118
,,129,104
,,138,142
,,135,125
,,142,142
,,145,128
,,155,145
,,130,134
,,129,142
,,115,115
,,139,118
,,120,148
,,117,137
,,176,137
,,167,122
,,158,131
,,174,123
,,170,133
,,196,130
,,168,122
,,278,125
,,149,112
,,332,118
,,113,120
,,159,115
,,135,117
,,176,114
,,158,120
,,170,123
,,222,116
,,190,106
,,95,144
,,129,147
,,210,118
,,211,136
,,113,127
,,321,115
,,91,145
,,133,112
,,128,149
,,114,106
,,126,143
,,106,115
,,121,115
,,112,136
,,158,127
,,118,150
,,142,128
,,132,101
,,175,127
,,150,146
,,146,122
,,116,132
,,115,130
,,140,143
,,26,164
,,181,138
,,147,138
,,152,151
,,150,161
,,145,115
,,129,73
,,150,128
,,161,141
,,109,122
,,142,131
,,150,102
,,153,108
,,148,106
,,146,130
,,110,125
,,115,147
,,148,135
,,121,138
,,160,132
,,87,131
,,128,138
,,122,147
,,134,111
,,135,140
,,158,122
,,145,138
,,129,114
,,120,124
,,129,119
,,117,114
,,136,115
,,148,132
,,129,129
,,120,300
,,102,129
,,141,84
,,150,118
,,156,119
,,123,101
,,124,125
,,145,99
,,130,123
,,145,97
,,129,139
,,102,115
,,112,109
,,101,80
,,109,76
,,140,92
,,155,114
,,136,114
,,146,113
,,131,116
,,139,107
,,155,103
,,134,167
,,132,99
,,141,136
,,148,153
,,142,118
,,105,136
,,131,127
,,128,120
,,111,131
,,139,170
,,118,176
,,132,159
,,124,111
,,106,114
,,141,80
,,103,125
,,103,87
,,116,110
,,106,6
,,74,53
,,94,80
,,104,46
,,113,20
,,115,104
,,98,126
,,92,122
,,129,132
,,101,113
,,93,125
,,108,136
,,52,97
,,96,118
,,70,125
,,74,144
,,91,137
,,105,139
,,88,64
,,86,103
,,101,94
,,133,110
,,139,139
,,110,110
,,131,
,,145,
,,86,
,,67,
,,131,
,,107,
,,126,
,,49,
,,56,
,,63,
,,29,
,,56,
,,51,
,,57,
,,103,
,,85,
,,99,
,,107,
,,96,
,,93,
,,76,
,,80,
,,84,
,,94,
,,82,
,,98,
,,97,
,,109,
,,90,
,,127,
,,112,
,,142,
,,75,
,,111,
,,121,
,,127,
,,115,
,,105,
,,123,
,,104,
,,79,
,,87,
,,152,
,,132,
,,163,
,,110,
,,161,
,,167,
,,130,
,,110,
,,110,
,,100,
,,126,
,,114,
,,94,
,,90,
,,65,
,,80,
,,74,
,,44,
,,70,