Doug ,Big Channel,Camp Channel,Pre Hanna,PETM Hanna,Post Hanna
240,10,340,70,106,20
136,50,120,34,37,300
8,325,350,65,134,294
352,25,80,162,89,292
382,350,65,177,281,200
37,40,90,180,245,263
330,70,40,172,298,275
296,87,45,172,42,260
299,10,30,175,59,305
132,345,,208,141,304
35,250,,216,227,279
144,290,,139,301,345
190,350,,144,270,324
140,25,,95,16,236
140,84,,37,323,215
120,52,,32,64,244
140,37,,340,14,272
94,70,,120,40,212
340,65,,350,3,281
,85,,80,49,153
,90,,65,67,162
,75,,90,48,200
,85,,40,10,220
,84,,45,50,220
,75,,30,325,210
,112,,95,25,150
,340,,355,350,125
,305,,5,40,210
,650,,340,70,220
,20,,0,87,318
,320,,90,10,320
,270,,340,345,185
,220,,98,250,300
,320,,43,290,62
,280,,170,35,82
,35,,107,350,94
,356,,48,25,44
,15,,78,84,42
,20,,63,52,32
,322,,32,37,47
,325,,71,70,72
,317,,76,65,64
,320,,105,85,76
,45,,104,90,185
,355,,87,75,190
,355,,74,85,127
,342,,98,84,330
,70,,135,75,281
,30,,82,112,259
,75,,162,340,64
,60,,89,305,31
,85,,95,650,23
,75,,20,20,32
,115,,77,320,27
,40,,89,270,345
,50,,276,220,5
,40,,153,320,324
,275,,119,280,317
,280,,123,35,341
,,,112,356,22
,,,82,15,44
,,,94,20,61
,,,64,322,183
,,,240,325,78
,,,136,317,63
,,,8,320,21
,,,352,45,68
,,,382,355,101
,,,37,355,12
,,,330,342,18
,,,296,70,
,,,299,30,
,,,132,141,
,,,35,128,
,,,144,72,
,,,190,131,
,,,140,189,
,,,140,75,
,,,120,60,
,,,140,85,
,,,94,75,
,,,340,115,
,,,284,40,
,,,237,50,
,,,249,40,
,,,88,275,
,,,271,280,
,,,98,90,
,,,275,270,
,,,136,,
,,,134,,
,,,132,,
,,,126,,
,,,183,,
,,,174,,
,,,173,,
,,,160,,
,,,86,,
,,,103,,
,,,354,,
,,,22,,
,,,358,,
,,,112,,
,,,145,,
,,,65,,
,,,163,,
,,,102,,
,,,75,,
,,,117,,
,,,88,,
,,,74,,
,,,87,,
,,,95,,
,,,104,,
,,,118,,
,,,92,,
,,,314,,
,,,261,,
,,,271,,
,,,71,,
,,,59,,