Pre_Hanna,PETM_Hanna,Post_Hanna
70,106,20
34,37,300
65,134,294
162,89,292
177,281,200
180,245,263
172,298,275
172,42,260
175,59,305
208,141,304
216,227,279
139,301,345
144,270,324
95,16,236
37,323,215
32,64,244
340,14,272
120,40,212
350,3,281
80,49,153
65,67,162
90,48,200
40,10,220
45,50,220
30,325,210
95,25,150
355,350,125
5,40,210
340,70,220
0,87,318
90,10,320
340,345,185
98,250,300
43,290,62
170,35,82
107,350,94
48,25,44
78,84,42
63,52,32
32,37,47
71,70,72
76,65,64
105,85,76
104,90,185
87,75,190
74,85,127
98,84,330
135,75,281
82,112,259
162,340,64
89,305,31
95,650,23
20,20,32
77,320,27
89,270,345
276,220,5
153,320,324
119,280,317
123,35,341
112,356,22
82,15,44
94,20,61
64,322,183
240,325,78
136,317,63
8,320,21
352,45,68
382,355,101
37,355,12
330,342,18
296,70,
299,30,
132,141,
35,128,
144,72,
190,131,
140,189,
140,75,
120,60,
140,85,
94,75,
340,115,
284,40,
237,50,
249,40,
88,275,
271,280,
98,90,
275,270,
136,,
134,,
132,,
126,,
183,,
174,,
173,,
160,,
86,,
103,,
354,,
22,,
358,,
112,,
145,,
65,,
163,,
102,,
75,,
117,,
88,,
74,,
87,,
95,,
104,,
118,,
92,,
314,,
261,,
271,,
71,,
59,,