Lower Boundary Sandstone,Structure,Scale,Plunge
106,x-bed,Ss,0
336,x-bed,Ss,0
175,x-bed,Ls,0
62,x-bed,Ls,0
69,x-bed,,0
166,x-bed,,0
296,x-bed,,0
106,x-bed,,0
35,x-bed,,0
24,x-bed,,0
42,x-bed,,0
39,x-bed,,0
29,x-bed,Ss,0
54,x-bed,,0
95,x-bed,,0
338,x-bed,,0
96,x-bed,,0
62,x-bed,,0
40,x-bed,,0
355,x-bed,Ss,0
22,x-bed,Ss,0
318,x-bed,Ss,0
318,x-bed,Ss,0
11,x-bed,Ss,0
62,x-bed,Ss,0
328,x-bed,Ls,0
371,x-bed,Ls,0
286,x-bed,Ls,0
336,x-bed,Ls,0
330,x-bed,Ls,0
311,x-bed,Ls,0
334,x-bed,Ls,0
326,x-bed,Ls,0
291,x-bed,Ls,0
0,x-bed,Ls,0
2,x-bed,Ss,0
49,x-bed,Ls,0
5,x-bed,Ls,0
349,x-bed,Ls,0
354,x-bed,Ls,0
27,x-bed,Ls,0
211,x-bed,Ls,0
236,x-bed,Ls,0
309,x-bed,Ss,0
356,x-bed,Ss,0
20,x-bed,Ls,0
14,x-bed,Ls,0
294,x-bed,Ls,0
315,x-bed,Ls,0
5,x-bed,Ls,0
14,x-bed,Ls,0
321,x-bed,Ls,0
8,x-bed,Ls,0
313,x-bed,Ls,0
20,x-bed,Ls,0
354,x-bed,Ss,0
299,x-bed,Ss,0
354,x-bed,Ss,0
205,x-bed,Ls,0
13,x-bed,Ls,0
311,x-bed,Ls,0
46,x-bed,Ls,0
346,x-bed,Ls,0
52,x-bed,Ls,0
345,x-bed,Ss,0
16,x-bed,Ss,0
31,x-bed,Ss,0
321,p,,0