Lat,Long
36.98233333,-89.12964444
-13.99749167,16.47347222
37.405475,-118.4989889
-5.1601,-70.24996944
45.49219722,-91.04935556
8.449819444,-82.81764444
64.65587778,-21.28917222
-0.965819444,-73.75126944
-6.565419444,-69.16600278
-12.76793611,32.03755833
-12.64248056,-69.556475
-15.59671944,-64.78796111
-2.129216667,-74.67532778
30.79080556,-94.15120278
63.91349167,-154.7549806
46.69906111,-89.16761944
-7.572233333,-66.40189167
-2.734141667,-69.74133056
-10.13371111,-74.05202778
39.88327222,-122.0643028
55.84586389,-127.8910917
49.69399722,41.28616111
-10.52928056,-73.99271111
-1.446044444,113.0976028
-29.96371111,146.1779028
-29.97385833,146.9301
-1.899330556,114.4699611
-0.455352778,101.6587694
-5.533047222,140.2601556
12.98728333,105.2109611
-9.595855556,27.11249167
-8.055016667,26.79505278
-0.851222222,39.85177778
47.19258889,95.99016667
45.30011944,9.612452778
-5.151838889,-74.10439722
60.37094167,130.7921333
-11.27534167,-68.22260833
-8.686369444,-71.63635278
-8.694925,-71.00956667
-9.487011111,-71.32233611
0.129488889,111.419525
-3.526141667,139.5688611
-7.165858333,141.8947083
-7.224055556,144.9389778
30.35531389,-94.79138056
3.390986111,-69.95628611
2.778177778,-69.33408333
-5.547066667,-75.93543056
-1.269433333,-66.192025
12.03890278,99.02450556
-13.00004722,-67.81885278
-13.16469722,-67.17531944